sensor_11,sensor_14,sensor_2,sensor_12_norm,sensor_12,sensor_11_norm,setting2,sensor_15,sensor_15_norm,sensor_13,sensor_13_norm,sensor_7_norm,sensor_21_norm,sensor_17,sensor_21,sensor_4_norm,sensor_17_norm,sensor_4,sensor_9,sensor_3_norm,sensor_2_norm,sensor_20_norm,setting1,sensor_9_norm,sensor_3,sensor_8,sensor_8_norm,sensor_20,sensor_7,RUL,id,cycle,sensor_14_norm,sensor_12_norm_norm,sensor_11_norm_norm,setting2_norm,sensor_15_norm_norm,sensor_13_norm_norm,sensor_7_norm_norm,sensor_21_norm_norm,sensor_4_norm_norm,sensor_17_norm_norm,sensor_3_norm_norm,sensor_2_norm_norm,sensor_20_norm_norm,setting1_norm,sensor_9_norm_norm,sensor_8_norm_norm
-2.2811984273541914,-0.314627641792931,-1.5754924050370238,1.2324372617410544,1.2324768434943745,-2.2811251652609634,2.036203271096658,-1.3673214638024038,-1.367277551431015,-0.48917282409777213,-0.48915711401374423,1.307596843398232,1.5544820549113516,-1.422751652536304,1.554531979663812,-1.9549496218553577,-1.422705959990263,-1.955012408283583,-0.46909401006993934,-1.0874174753047972,-1.575441807127597,0.6730214862819356,-0.8207556597806471,-0.469078944826793,-1.0874523995086933,-1.2024062335877046,-1.2023676175712472,0.6730431014759125,1.3076388390253462,1.0,2,1,-0.31461753733232345,1.2480122148736517,-2.807881364724746,2.036137877173844,-1.737555633788866,-0.36641547939648794,1.3218303197407197,1.5530609302218614,-1.9530251807950387,-1.9696079595359215,-1.1091749333963175,-2.1883894574145475,0.6832486179500953,-0.8207293007068617,-0.489633886176555,-1.3298789480960653
-1.118350030497161,-0.6496228073391435,-1.7159382184792606,1.483416036586266,1.7344505143785678,-1.6997196396288698,-1.0380450539328094,-0.6696217390558336,-1.0184388925860306,-1.5934912027532455,-1.0412985704088604,1.443921201221881,1.3223694082193143,-0.7762011423688203,1.090291776919549,-1.8519635534163417,-1.0994410870905489,-1.7490336562710005,-0.618548240252602,-0.8240744063348642,-1.645662458596793,1.0066093095888853,1.966980962280862,-0.5438036600107744,-0.5607493461757012,-1.622343931385742,-1.412329723191295,1.34024017553499,1.580296311235383,1.0,2,2,-0.4821097408173424,1.4997947576858457,-2.4020003750273498,0.4990630803488063,-1.467005338672053,-0.7383305741470558,1.4636854065116314,1.3373074782841063,-1.8741442462434663,-1.701542331502285,-0.8345108248924753,-2.2457124461123508,1.0207180751418854,0.5730942453841452,-0.5493003319789865,-1.4714357905729225
-1.193372507713755,-0.17011992332203474,-2.257657784614287,1.5128099471537222,1.571648242740447,-1.5309244870260077,1.0114538294201687,-1.641607996813424,-1.2261443535776886,-1.45545140542445,-1.1793339345086855,1.629473799370733,1.2960633082608846,-1.422751652536304,1.2434910438251594,-1.601271339972918,-1.2071960447237868,-1.0999222377665405,-0.4901315556674807,-0.6668342561191739,-1.8496367319123042,1.2104685349431237,0.8244659532392599,-0.5259077116040475,-0.35236527211561314,-0.7824685357960328,-1.202367617573369,1.6182389563929127,2.000643247559179,1.0,2,3,-0.37811131381684676,1.5289397162572538,-2.188149100885713,0.6698491688849216,-1.4842159172418186,-0.9242881215228094,1.6518104247001475,1.317390775836994,-1.6277212065721978,-1.6717572617207699,-0.6728446561051235,-2.3758265315693934,1.2262555664905361,0.6568759885918013,-0.5596627352415106,-1.4242501764149236
-1.6435073710132375,-0.17719372772272535,-1.9968298453641904,1.496982456848157,1.4495465390118176,-1.5590570124598173,-1.3796282011583059,-1.0664051703048416,-1.186200995694679,-2.2836901894160553,-1.455404662706767,1.469482018313823,1.4632617847613805,-1.422751652536304,1.9649203188897348,-1.5560873621983293,-1.2610735235404058,-1.420581051710441,-0.324899166286622,-0.7592641183329125,-1.886418977920035,1.3401971328958253,1.6013761593875495,-0.47565296669047075,-1.0365869956042333,-1.622343931385742,-1.3073486703828625,1.7294384687361055,0.9895384547803462,1.0,2,4,-0.3278804946218747,1.5126970079620785,-2.09104316517854,0.15749090327657567,-1.4773316858139083,-1.1102456688985045,1.4917899801881782,1.4910909075701237,-1.5860670611469978,-1.6792035291661487,-0.7646679573548982,-2.4558967380045056,1.3569386138502837,0.892988173995196,-0.5447801466909149,-1.43604657995496
-1.0808387918888775,-0.36768117479799556,-1.896511407190936,1.4277937135124366,1.151075707675237,-1.4634064259848611,1.3530369766456654,-1.4685145536511393,-1.2426542748360059,-2.145650392080982,-1.5934400268052322,1.571157268523962,1.4163286076002517,-2.0693021627037878,1.228635357337345,-1.3855758337503934,-1.422705959990263,-0.703552314974796,-0.3187632154873591,-0.9827365544307597,-1.8884252822477152,1.4736322622185996,0.23035814853762687,-0.4442729689944403,-1.8766865697677695,-0.922447768391135,-1.2303625649889511,2.007437249594028,1.9779217915416976,1.0,2,5,-0.33583826899559627,1.4387294527883665,-2.0060700160451184,0.3965914272271371,-1.4907146317097622,-1.2590117067988937,1.5861283539932376,1.4367458003957265,-1.4079453921388214,-1.7372844152401032,-0.984712090363405,-2.504593981736401,1.484778489629445,0.7604606892849036,-0.5258280304650638,-1.4223627518490711
-1.8310635640547086,-0.5202732411554151,-2.7592499754798743,1.5015045969354281,1.8701190740768734,-1.5246728147073842,1.3530369766456654,-1.6469339489107135,-1.3100254051320148,-1.45545140542445,-1.5704341327890827,1.612433254642793,1.3906105263467727,-0.7762011423688203,1.2620606519349193,-1.3787843200479293,-1.314951002357025,-1.3448699428625714,-0.49758235306661985,-1.1735577315099044,-2.0335479619508643,1.5347900298248696,-0.4551508568873345,-0.45315520297916406,-2.127731950328347,-0.7824685357960328,-1.1557093718803788,1.8406379810792586,1.8188715994191975,1.0,2,6,-0.3665746462062735,1.5084857035085684,-1.9636780015656132,0.5559917765275114,-1.5170537011529388,-1.3530235779721325,1.6226179422524798,1.406050487300375,-1.3953989095735568,-1.7462199361745576,-1.1730963905938496,-2.5765479808828573,1.5422787353064757,0.5578612011645714,-0.5155573918242963,-1.396463092522137
-1.6435073710132375,-0.3848604140567828,-1.294600778152322,1.4262432654824841,0.9747065800672855,-1.5416416395722214,-0.6964619067073131,-1.2714543260509577,-1.3045094176148377,-0.7652524187616405,-1.455404662706543,1.6191953755665909,1.4316613058617371,-1.422751652536304,1.6780198735937935,-1.3120620718469025,-1.3303445677332018,-0.9117578643064057,-0.5589418610594886,-1.075697712555791,-1.9279781389936816,1.5387613134356675,0.04755574709097051,-0.4682650183103179,-0.488553289021015,-0.6424893031945652,-1.0823892715053767,1.562639200221336,1.6598214072966977,1.0,2,7,-0.3691851330378651,1.4312201956643456,-1.9367825594935724,0.37707301710872393,-1.5346450198690282,-1.3980371112654404,1.626051081628398,1.443162686106162,-1.3249604927934566,-1.7562496025295578,-1.0743427487609767,-2.6033209919306652,1.5437412848247252,0.48496020382803945,-0.5116683462103785,-1.3638397506696553
-1.268394984930322,-0.3045222069348344,-0.25128902115193663,1.4766328264552628,1.8294185061673818,-1.5074807158311643,-1.3796282011583059,-1.4844924099430077,-1.3270013322322929,-1.869570797417114,-1.5071679242434168,1.5972861037735022,1.4233384095303487,-1.422751652536304,1.365121976944135,-1.3352239965054815,-1.3418897417653344,-1.4974055592178115,-0.420882968075514,-0.942414710692837,-1.7183909904757455,1.5486895224626591,0.6873641521542677,-0.4623405724164895,-0.009434000630872434,-1.2024062335877046,-1.0973865647636103,1.6182389563929127,1.4439675751303647,1.0,2,8,-0.3611010447851938,1.4794212692057396,-1.9106490163973278,0.15749090327657572,-1.5521995465829705,-1.4405140212686094,1.601751799127907,1.4321382192650434,-1.344868505863162,-1.766165295403251,-0.9406061557443233,-2.5806278568641687,1.5517697815073463,0.5102579379784031,-0.5075689190518766,-1.3419000450387517
-1.4934624165800765,0.06786306758635846,-1.3949192163253485,1.460051646135155,1.3274448352831885,-1.5059177977515081,-1.3796282011583059,-1.4658515776024945,-1.3424239065260142,-1.5934912027532455,-1.5167537134168123,1.5852946093353186,1.467826666812989,-2.0693021627037878,1.82379129725548,-1.3579396923818938,-1.422705959990263,-1.5397147082798646,-0.6027700810544062,-0.9922530017829403,-1.6824447046045683,1.5255237013996785,0.7787653528775959,-0.4779417002281979,-1.3910040034544804,-1.0624270009926025,-1.0934983776227045,1.34024017553499,1.4894104871654568,1.0,2,9,-0.3134386077954907,1.4614957188037714,-1.8900804655604055,-0.013295185259539568,-1.5685111456062577,-1.4749864755563578,1.5878814354581638,1.474196423333044,-1.3650234063958435,-1.7887700358624368,-0.9895364053236446,-2.55645677161666,1.527207125398562,0.5400893162417353,-0.5071487516665436,-1.3242532911016731
-1.2308837463220383,-0.2681426414456407,-1.3748555286907431,1.3911643788052697,0.771203740519673,-1.4784104395495596,0.6698706821946725,-1.1622723080562878,-1.3244050139699017,-1.7315310000883184,-1.5382258811657206,1.5688851958935828,1.6083321889439002,-1.422751652536304,2.8729741554574955,-1.3777822934360897,-1.422705959990263,-1.5564156881727855,-0.28676861489108835,-0.9602580494781842,-1.6516813715799352,1.5848282033209133,-2.0546718695455772,-0.4588234707194143,-0.6723250708693037,-1.4823646987906398,-1.1323802490339898,2.118636761937221,1.4212461191128831,1.0,2,10,-0.30890815000388816,1.3935215203822784,-1.8697850305797523,0.05501925015490655,-1.5787654268651568,-1.5054571119457556,1.5727417676476159,1.6143459337111588,-1.3838994533896662,-1.806853828229785,-0.9598920841582096,-2.5320973177422688,1.5888896528303982,0.2806197963683274,-0.5037594999189767,-1.3153787339696936
