sensor_11,sensor_14,sensor_2,sensor_12_norm,sensor_12,sensor_11_norm,setting2,sensor_15,cycle,sensor_15_norm,setting3,sensor_13,sensor_13_norm,id,sensor_7_norm,sensor_21_norm,sensor_17,sensor_21,sensor_4_norm,sensor_17_norm,sensor_4,sensor_9,sensor_3_norm,sensor_2_norm,sensor_20_norm,setting1,sensor_9_norm,sensor_3,sensor_8,sensor_8_norm,sensor_20,sensor_7,RUL
47.3,8145.32,642.36,-0.2218685374319358,522.31,-0.3858611564413164,0.0004,8.4246,1,0.46363605807332103,100.0,2388.01,-0.38418296725738754,1,-0.3357385697585035,-0.25900146851896755,391,23.3537,-0.7799619890488193,-0.88710477411787,1396.84,9062.17,-0.7096317483348813,-0.19026972199526537,0.4904776755007378,-0.0005,-0.09420556770199603,1583.23,2387.96,-0.6976729319873449,39.11,553.97,258
47.23,8152.85,642.5,-0.18794815057225994,522.42,-0.6183919162452031,-0.0003,8.4403,2,0.7220400470436459,100.0,2388.03,-0.2580811498043995,1,-0.16651901919639495,0.3784513489910861,392,23.4491,-0.7748667810470283,-0.32089044806390526,1396.89,9061.78,-0.49586857115513555,0.07498294571871145,0.010203871669102695,0.0008,-0.1135953863427086,1584.69,2388.0,-0.4459833066501495,38.99,554.55,257
47.22,8150.17,642.18,-0.30821134034745523,522.03,-0.6516105962171801,-0.0002,8.3901,3,-0.10419436354933374,100.0,2388.0,-0.4472338759853152,1,-0.20152996069200935,-0.17080044974398484,391,23.3669,0.11373749446206367,-0.88710477411787,1405.61,9070.23,-0.83847530718296,-0.5313088661991037,-0.5501155661344858,-0.0014,0.30651735087330306,1582.35,2388.03,-0.25721608764582227,38.85,554.43,256
47.24,8146.56,642.92,-0.18061936878316973,522.49,-0.5963488993131668,0.0001,8.3878,4,-0.13026933154111897,100.0,2388.08,0.0442826999668019,1,0.013135112539691152,-0.6543020891985024,392,23.2951,-1.2594886351401187,-0.3211317089852388,1392.27,9064.57,-0.36828801365006025,0.8918672967819498,-0.1211791631457937,-0.002,0.009853938000506077,1585.61,2388.0,-0.46909017256979163,38.96,555.21,255
47.15,8147.8,641.68,-0.13860940604907593,522.58,-0.8841413560210668,0.0,8.3869,5,-0.15686269251142998,100.0,2388.03,-0.2580811498043995,1,-0.11108502849499167,0.4399247863190979,392,23.4583,-0.6974196194200882,-0.32089044806390526,1397.65,9076.14,0.0809991809600625,-1.4786398223205417,0.6105461264586537,0.0016,0.6003476795060709,1588.63,2388.04,-0.1942936813129541,39.14,554.74,254
47.07,8144.92,642.24,-0.18794815057225994,522.42,-1.1498907957969304,-0.0005,8.4152,6,0.30892284174715606,100.0,2388.02,-0.3211320585323271,1,-0.10816745003702657,0.23813154639453032,393,23.4281,-0.4569258017364396,0.24532387799005953,1400.01,9074.98,-0.5837164521879256,-0.41762915146441915,-0.26995584723269156,0.0011,0.5426753984207958,1584.09,2388.0,-0.4459833066501495,38.92,554.75,253
47.38,8147.05,642.58,-0.18987269182654065,522.46,-0.12676191728450653,0.0002,8.3842,7,-0.1900693610186935,100.0,2388.02,-0.34261632225009025,1,-0.17093466037576202,0.11177676436791452,391,23.4087,-0.34972749358324673,-0.8901545617485607,1401.09,9074.65,-0.36828801365006025,0.23280289025119683,-0.6084366302437828,-0.0038,0.5153460321822004,1585.61,2388.04,-0.21160745509110154,38.84,554.58,252
47.31,8157.34,642.32,-0.28662563961855786,522.1,-0.35264247646931574,-0.0005,8.419,8,0.37146648238965263,100.0,2387.97,-0.6363866021662309,1,-0.07899166545734239,0.44460211307230535,391,23.459,-0.7555049906403106,-0.88710477411787,1397.08,9063.54,0.03561110909310601,-0.26605619848491147,0.25034077358490603,-0.0007,-0.02609261504088993,1588.32,2388.06,-0.06844886864435638,39.05,554.85,251
47.31,8147.2,641.64,-0.3841924757375056,521.83,-0.3615554082988367,0.0,8.4091,9,0.2235475095344836,100.0,2388.01,-0.4070994926181061,1,-0.3024130696011,0.5204420682950825,392,23.4693,0.20933207413085167,-0.3211317089852388,1406.51,9067.2,-0.04580353567899995,-1.5893163513343704,0.0006352036287107798,-0.0026,0.14174324431978985,1587.81,2388.04,-0.21160745509110154,38.99,554.13,250
47.35,8152.86,642.42,-0.33175191630777956,521.96,-0.20437105878561093,-0.0002,8.3987,10,0.03548720654207451,100.0,2387.99,-0.4984947960379212,1,-0.10591310745404621,0.566937933046605,391,23.4781,-0.21787662011981151,-0.8877467129219903,1402.25,9070.04,-0.09277126338602627,-0.05399941344244225,-0.1925424734168317,0.0019,0.3174467328174045,1587.39,2387.99,-0.5004153866929848,38.94,554.78,249
47.35,8144.53,642.28,-0.2492766626124056,522.23,-0.20437105878561093,-0.0002,8.4235,11,0.4491998702171273,100.0,2388.03,-0.25057562635395475,1,-0.24492880408985868,0.12716546888928235,392,23.4127,-1.2801828457537794,-0.31831647608615576,1391.88,9068.24,-0.8348399778273059,-0.32429846008993873,-0.0719462143034811,0.0026,0.22560502323045983,1582.38,2388.01,-0.3761132045071573,38.97,554.3,248
47.26,8149.04,641.88,-0.2916592453037261,522.13,-0.5292650447376576,-0.0004,8.359,12,-0.6086695673616562,100.0,2387.98,-0.6005490037280183,1,-0.2381347362020444,-0.17617717090749485,392,23.366,-0.6952716913401016,-0.3211317089852388,1397.74,9075.26,-0.7156917467370429,-1.124094417312533,0.40668309287704946,-0.0036,0.5459363275642569,1583.24,2388.04,-0.21160745509110154,39.09,554.35,247
